100 90 80
255 60 20
0.235 0.133 0.129
2.0
6 147 188
0 0.000000 0.000000 -0.000000 0.012000
1 0.076516 0.000000 -0.001584 0.011333
2 0.305704 0.000000 0.009027 0.010000
3 0.561464 0.000000 0.021571 0.008667
4 0.777308 0.000000 0.025683 0.007333
5 0.945732 0.000000 0.032173 0.006000
31 1.124330 -0.088559 0.307652 0.440295 0.314554
32 1.155461 -0.137221 0.382556 0.397402 0.287089
33 1.202864 -0.199879 0.451193 0.350852 0.275498
34 1.276171 -0.285060 0.514127 0.293051 0.271641
35 1.372765 -0.387944 0.557682 0.239891 0.285142
36 1.443942 -0.475307 0.585936 0.180454 0.300089
37 1.504486 -0.573167 0.621477 0.134468 0.309250
38 1.556429 -0.675948 0.658806 0.077089 0.306839
39 1.597787 -0.746497 0.673334 0.012223 0.314486
40 1.551887 -0.624427 0.619941 0.080886 0.323234
41 1.519745 -0.523882 0.559184 0.145858 0.343967
42 1.499159 -0.426428 0.473787 0.196909 0.376079
43 1.457873 -0.314108 0.367760 0.270312 0.409497
44 1.416871 -0.230846 0.269423 0.323801 0.441310
45 1.487153 -0.295458 0.277808 0.285661 0.474661
46 1.558172 -0.366141 0.274971 0.247963 0.507606
47 1.639923 -0.453328 0.253506 0.217362 0.554743
48 1.712192 -0.541573 0.228713 0.185996 0.605662
49 1.796077 -0.668376 0.218840 0.139116 0.656651
50 1.853123 -0.767222 0.214698 0.078658 0.696926
51 1.902516 -0.859008 0.204682 0.037645 0.736074
52 1.845120 -0.743436 0.188176 0.093207 0.703208
53 1.772574 -0.610085 0.152091 0.163042 0.672170
54 1.709132 -0.505768 0.103065 0.223823 0.650370
55 1.651187 -0.423442 0.050508 0.282018 0.652218
56 1.572491 -0.330436 0.004965 0.340214 0.630048
57 1.457144 -0.220103 -0.031611 0.419747 0.588665
58 1.509961 -0.275307 -0.076552 0.410048 0.649262
59 1.597304 -0.388416 -0.153564 0.391296 0.736669
60 1.648991 -0.477494 -0.218167 0.391296 0.807952
61 1.708544 -0.593105 -0.281660 0.373514 0.883698
62 1.746073 -0.668827 -0.311112 0.356055 0.925244
63 1.797269 -0.783547 -0.351917 0.335041 0.990275
64 1.737813 -0.672125 -0.334365 0.366621 0.937743
65 1.687551 -0.590193 -0.324246 0.389356 0.890511
66 1.635788 -0.516995 -0.319514 0.416191 0.848759
67 1.593879 -0.467934 -0.323847 0.443581 0.818461
68 1.527242 -0.396427 -0.328162 0.475356 0.788605
69 1.455080 -0.323487 -0.323077 0.503807 0.742788
70 1.400920 -0.271082 -0.311448 0.528986 0.710110
71 1.338547 -0.214435 -0.291277 0.546768 0.663923
72 1.278038 -0.159994 -0.257145 0.559377 0.628452
73 1.218982 -0.106146 -0.201275 0.563904 0.579619
74 1.140998 -0.051301 -0.123402 0.575543 0.502395
75 1.205296 -0.104011 -0.211133 0.583301 0.574447
76 1.239556 -0.148373 -0.274172 0.589768 0.623323
77 1.261438 -0.202164 -0.348266 0.605610 0.673205
78 1.265056 -0.246572 -0.409114 0.628241 0.701656
79 1.264973 -0.319474 -0.496160 0.656369 0.748123
80 1.291147 -0.417699 -0.578020 0.677384 0.823870
81 1.333264 -0.515802 -0.637454 0.681320 0.891350
82 1.287034 -0.448055 -0.607064 0.687730 0.842345
83 1.256946 -0.386024 -0.567422 0.683850 0.795788
84 1.210564 -0.300263 -0.505295 0.675767 0.736669
85 1.151288 -0.225996 -0.447725 0.678030 0.677920
86 1.086099 -0.165134 -0.392783 0.683527 0.622495
87 1.028310 -0.100436 -0.307549 0.678354 0.554864
88 1.008087 -0.061180 -0.233365 0.662189 0.510155
89 0.996388 -0.031680 -0.157052 0.642143 0.477639
90 0.985116 -0.024171 -0.134164 0.637294 0.452514
91 0.979661 -0.051333 -0.215254 0.669625 0.486138
92 0.934407 -0.096141 -0.309707 0.720177 0.514958
